Title,Category,Year,Author_Status,Co_Authors,Publication_Venue,Volume_Issue_Pages,ISBN_DOI,URL,Description,Awards_Recognition,Performances_Count,Historical_Significance,Current_Status,Access_Status,Source,Additional_Notes
"Beyond Free Speech: Fostering Civic Engagement at the Intersection of Diversity and Expression",Articles,2019,Primary Author,,American Diversity Report and Society for Intercultural Education Training and Research e-zine,20 pages,,,"Fellowship research examining intersection of diversity and speech on U.S. college campuses",,,"UC National Center for Free Speech and Civic Engagement fellowship project",Published,Accessible,PDF file provided,"Adapted for publication in two electronic magazines"
"Renewing Multicultural Education: An Ancient Mariner's Manifesto",Articles,2025,Primary Author,,"Multicultural Perspectives, Volume 27 Issue 2, Pages 66-75",,10.1080/15210960.2025.2558492,https://doi.org/10.1080/15210960.2025.2558492,"Keynote address from 2024 National Association for Multicultural Education conference discussing three bad habits in multicultural education and how to renew the field",,,Adaptation of 2024 NAME conference keynote in Anaheim CA,Published,Accessible,PDF file provided,"Published online October 16 2025; addresses admiring the problem, lack of inclusivity/transparency, and linguistic madness"
"Chicanos Chapter",Articles,1973,Chapter Contributor,,"Teaching Ethnic Studies: Concepts and Strategies, edited by James A. Banks, National Council for the Social Studies",,,,Contribution to formative book on multicultural education,,,"Widely adopted for teacher training",Published,Not Directly Accessible,PDF reference and web search,"Important early work in multicultural education"
"Mexicans Entry",Articles,,,Primary Author,Harvard Encyclopedia,,,,Encyclopedia entry on Mexicans,,,Unknown,Unknown,Not Accessible,PDF reference,"Specific encyclopedia title not fully identified"
"Intercultural Humor Essay",Articles,2015,Contributing Essayist,,"The SAGE Encyclopedia of Intercultural Competence, edited by Janet M. Bennett, Sage Publications",,,,Essay on intercultural humor,,,Published in major reference work,Published,Not Directly Accessible,PDF reference,
"Media-Related Articles (50+ articles)",Articles,Various,Primary Author,,"Various publications, including Media & Values magazine (columnist)",,,,Articles on media treatment of diversity,,,Career spanning decades,Published,Not Accessible - Details Unknown,Multiple sources,"Individual titles and dates not available without magazine archives"
"Speech vs. Diversity Diversity vs. Speech",Blogs,,Primary Author,,American Diversity Report,,,,Monthly diversity-and-speech column,,,Part of ongoing series,Published,Not Directly Accessible,PDF reference,Part of numbered series
"Diversity vs. Free Speech Part 1: An Invented Conflict",Blogs,,Primary Author,,American Diversity Report,,,,Monthly diversity-and-speech column,,,Part of ongoing series,Published,Not Directly Accessible,PDF reference,
"Diversity and Speech Part 10: Harmful Speech 2070",Blogs,,Primary Author,,American Diversity Report,,,,Monthly diversity-and-speech column,,,Part of ongoing series,Published,Not Directly Accessible,PDF reference,
"Diversity and Speech Part 11: Dehumanizing Speech 2070",Blogs,,Primary Author,,American Diversity Report,,,,Monthly diversity-and-speech column,,,Part of ongoing series,Published,Not Directly Accessible,PDF reference,
"Diversity & Speech Part 15: English Language Learners",Blogs,,Primary Author,,American Diversity Report,,,,Monthly diversity-and-speech column,,,Part of ongoing series,Published,Not Directly Accessible,PDF reference,
"Diversity & Speech Part 16: Creating an Anti-Racism Vision Statement",Blogs,,Primary Author,,American Diversity Report,,,,Monthly diversity-and-speech column,,,Part of ongoing series,Published,Not Directly Accessible,PDF reference,
"Diversity and Speech #25: Growing Up Bi-Religious",Blogs,,Primary Author,,American Diversity Report,,,,Monthly diversity-and-speech column,,,Part of ongoing series,Published,Not Directly Accessible,PDF reference,
"Diversity and Speech No. 46: The Art of Turning 90",Blogs,,Primary Author,,American Diversity Report,,,,Monthly diversity-and-speech column,,,Part of ongoing series,Published,Not Directly Accessible,PDF reference,
"Renewing Diversity # 1: High School Ethnic Studies",Blogs,,Primary Author,,American Diversity Report,,,,Topic: California's Assembly Bill 101 (Medina Bill),,,First state to require high school ethnic studies,Published,Not Directly Accessible,PDF reference,
"Renewing Diversity #3: We Failed George Floyd",Blogs,,Primary Author,,American Diversity Report,,,,Response to George Floyd murder and racial justice,,,Part of ongoing series,Published,Not Directly Accessible,PDF reference,
"Renewing Diversity No. 4: A Sliver of Bone",Blogs,,Primary Author,,American Diversity Report,,,,Monthly diversity column,,,Part of ongoing series,Published,Not Directly Accessible,PDF reference,
"Renewing Diversity Part 9: Rediscovering My Professional Journey",Blogs,2025,Primary Author,,American Diversity Report,,,https://americandiversityreport.com/renewing-diversity-part-9-rediscovering-my-professional-journey-by-carlos-cortes/,Autobiographical reflection on professional career,,,Part of ongoing series,Published,Accessible,Direct URL provided,
